K,unsatisfied,payoffs,TotalBM,GreenPatches,beta.i,k.i,numLoggers,numCheaters
6.077,12,-22.53409091,3156.5,490,0.34365756,7.454545455,88,2
6.077,14,-21.60119048,3640,517,0.32593544,7.130952381,84,4
6.077,12,-14.87195122,3850.5,576,0.31181319,6.987804878,82,2
6.077,18,-13.57692308,4294,594,0.30341118,6.435897436,78,4
6.077,19,-15.46710526,5084,644,0.31584136,6.460526316,76,2
6.077,18,-10.50694444,5977,719,0.29514957,6.097222222,72,4
6.077,23,-11.16666667,7079.5,765,0.28490029,5.884057971,69,3
6.077,18,-7.090909091,8444,864,0.27932843,5.439393939,66,3
6.077,16,-4.53968254,10154,1000,0.28017717,5,63,3
6.077,21,-4.74137931,12314,1134,0.2416091,3.965517241,58,5
6.077,19,-1.767857143,14935.5,1275,0.23081196,3.5,56,2
6.077,14,10.13888889,17097,1376,0.22542408,2.944444444,54,2
6.077,23,7.566037736,19442.5,1475,0.22862507,2.622641509,53,1
6.077,13,11.63461538,21553,1559,0.18062292,2.019230769,52,1
6.077,16,12.93137255,23425.5,1632,0.18158089,1.549019608,51,1
6.077,11,17.92156863,24970,1718,0.17973483,1.352941176,51,0
6.077,13,16.92156863,26604,1790,0.1794377,1.352941176,51,0
6.077,13,18.79411765,28066,1856,0.17336277,1.117647059,51,0
6.077,16,15.78431373,29553.5,1902,0.16551664,0.960784314,51,0
6.077,8,23.42156863,30391,1918,0.17032793,0.941176471,51,0
6.077,15,22.31372549,31039.5,1952,0.17106387,1.019607843,51,0
6.077,9,21.02941176,31769,1994,0.17086936,1.019607843,51,0
6.077,8,26.20588235,32202.5,2003,0.16060135,1.019607843,51,0
6.077,17,23.04901961,32732.5,2024,0.16176315,0.882352941,51,0
6.077,7,24.31372549,33131,2036,0.15887767,0.823529412,51,0
6.077,12,25.16666667,33392.5,2035,0.15959132,0.784313725,51,0
6.077,13,28.33333333,33359.5,2022,0.15928713,0.745098039,51,0
6.077,14,25.99019608,33366,2017,0.15303106,0.823529412,51,0
6.077,12,27.06862745,33215.5,2010,0.16731378,0.823529412,51,0
6.077,10,26.79411765,33221.5,2025,0.16664095,0.784313725,51,0
6.077,11,26.86,33303.5,2027,0.14577632,0.32,50,1
6.077,4,25.79,33431.5,2026,0.14345215,0.32,50,0
6.077,11,25.86,33518,2016,0.1377093,0.32,50,0
6.077,7,26.87,33509,2024,0.1377093,0.32,50,0
6.077,13,23.46,33626.5,2038,0.14942905,0.32,50,0
6.077,10,25.17,33646,2036,0.14739217,0.16,50,0
6.077,11,23.67,33800.5,2047,0.13000114,0,50,0
6.077,9,25.46,33793.5,2033,0.12596081,0,50,0
6.077,13,20.84,33983,2042,0.13021197,0,50,0
6.077,5,28.24,33829.5,2046,0.1210625,0,50,0
6.077,10,26.92,33798.5,2053,0.12006222,0,50,0
6.077,9,29.33,33763,2053,0.12349473,0,50,0
6.077,18,24.6,33871.5,2041,0.12349473,0,50,0
