sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
TRUE,0,,,254517,884,,,204364,0,TRUE,0,147975,0,,,TRUE,0,,
,,,,263584,919,,,212442,0,,,153884,0,x max,current pen,,,,
,,,,273313,971,,,221055,0,,,160021,0,100,"""wolfStock""",,,,
y,y,,,283238,1015,,,229873,0,y,y,166435,0,,,y,y,,
,,,,293671,1059,,,238942,0,,,172950,0,pen down?,x,,,,
,,,,304285,1109,,,248397,0,,,179897,0,TRUE,0,,,,
,,,,315292,1169,,,258481,0,,,187184,0,TRUE,0,,,,
,,,,326677,1233,,,268709,0,,,194683,0,,,,,,
,,,,338612,1297,,,279467,0,,,202395,0,,,,,,
,,,,350844,1357,,,290687,0,,,210586,0,y,y,,,,
,,,,363401,1419,,,302274,0,,,219030,0,,,,,,
,,,,,,,,314259,0,,,227826,0,,,,,,
,,,,,,,,326851,0,,,236965,0,,,,,,
,,,,x max,current pen,,,,,,,246487,0,,,,,,
,,,,100,"""wolfStock""",,,,,,,256400,0,,,,,,
,,,,,,,,x max,current pen,,,266539,0,,,,,,
,,,,pen down?,x,,,100,"""wolfStock""",,,277210,0,,,,,,
,,,,TRUE,0,,,,,,,288134,0,,,,,,
,,,,TRUE,0,,,pen down?,x,,,299546,0,,,,,,
,,,,,,,,TRUE,0,,,311693,0,,,,,,
,,,,,,,,TRUE,0,,,324223,0,,,,,,
,,,,y,y,,,,,,,337085,0,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,y,y,,,,,,,,,,
,,,,,,,,,,,,x max,current pen,,,,,,
,,,,,,,,,,,,100,"""wolfStock""",,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pen down?,x,,,,,,
,,,,,,,,,,,,TRUE,0,,,,,,
,,,,,,,,,,,,TRUE,0,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,y,y,,,,,,
