Ticks,GreenPatches,K,TotalBM,k.i,Payoffs,beta.i,highMinCut,lowMinCut
1306,1274,10.13,13926.5,16.1,5.92,0.594699859153859,73,20
1307,1307,10.13,14410.5,15.98,3.13,0.59469985915386,72,21
1308,1293,10.13,14576,15.98,5.805,0.594699859153859,72,20
1309,1255,10.13,14588.5,15.94,5.95,0.594699859153859,72,20
1310,1252,10.13,14538,15.78,5.1,0.58992745149287,71,20
1311,1267,10.13,14668.5,15.6,2.505,0.589681915983932,70,21
1312,1257,10.13,14301.5,15.39,6.575,0.584909508322943,69,22
1313,1251,10.13,14077,15.44,6.475,0.579411680798048,69,22
1314,1227,10.13,13695,15.39,8.38,0.582131155401644,69,22
1315,1215,10.13,13487.5,15.35,6.31,0.58255632914583,69,22
1316,1212,10.13,13237,15.37,6.985,0.582856575265549,69,22
1317,1239,10.13,13294.5,15.4,4.515,0.582856575265548,68,22
1318,1266,10.13,13576.5,15.26,4.83,0.582431401521362,68,23
1319,1258,10.13,13965.5,15.42,3.945,0.582006227777174,71,23
1320,1269,10.13,14055,15.33,7.005,0.582006227777175,70,24
1321,1272,10.13,14148.5,15.23,6.135,0.582006227777175,69,24
1322,1244,10.13,14045.5,15.25,6.52,0.581951517166393,69,24
1323,1220,10.13,13885.5,15.22,5.83,0.581951517166393,68,23
1324,1230,10.13,13669.5,15.23,7.065,0.581896806555612,67,23
1325,1219,10.13,13219.5,15.23,9.46,0.584134343921756,67,23
1326,1202,10.13,13165.5,15.25,5.775,0.584134343921756,70,23
1327,1183,10.13,13373,15.23,1.835,0.584434590041474,69,23
1328,1214,10.13,13289,15.41,3.54,0.584134343921756,70,22
1329,1210,10.13,13457,15.2,1.715,0.581599473626909,69,23
1330,1219,10.13,13497,15.51,3.495,0.587729556703714,70,22
1331,1196,10.13,13286,15.49,6.78,0.582711613533788,70,23
1332,1196,10.13,13171,15.39,5.715,0.582711613533788,70,23
1333,1190,10.13,12750.5,15.5,8.795,0.582136121475142,71,23
1334,1182,10.13,12596,15.64,6.235,0.58720877525585,72,22
1335,1193,10.13,12856.5,15.75,2.545,0.586633283197206,73,22
1336,1197,10.13,13006,15.75,3.64,0.583798166782641,72,23
1337,1232,10.13,13323,15.65,2.65,0.583372993038454,72,23
1338,1223,10.13,13379.5,15.74,5.13,0.591165121422758,72,22
1339,1244,10.13,13604.5,15.68,3.935,0.591219832033539,72,23
1340,1264,10.13,13959.5,15.65,3.78,0.591520078153257,71,23
1341,1271,10.13,14489,15.68,1.09,0.596592731933965,71,22
1342,1278,10.13,14546,15.6,6.09,0.588800603549662,71,23
1343,1257,10.13,14432.5,15.79,6.44,0.592211212022871,72,22
1344,1273,10.13,14281.5,15.71,6.975,0.592511458142589,71,22
1345,1283,10.13,14223,15.62,7.08,0.595230932746184,72,23
1346,1234,10.13,14029,15.51,7.24,0.595285643356965,71,24
1347,1237,10.13,13882,15.38,7.58,0.594985397237247,71,25
1348,1222,10.13,13499.5,15.28,8.265,0.594985397237247,71,24
1349,1199,10.13,13091.5,15.26,8.275,0.592150280822683,70,23
1350,1185,10.13,12994.5,15.17,5.33,0.587377873161693,69,24
1351,1185,10.13,13002.5,15.27,4.285,0.58514033579555,69,23
1352,1185,10.13,12622,15.25,8.55,0.585140335795549,69,23
1353,1174,10.13,12468,15.14,5.705,0.58514033579555,69,23
1354,1197,10.13,12532.5,15.18,4.615,0.584414915931645,69,23
1355,1174,10.13,12494,15.2,5.265,0.584414915931645,69,24
1356,1205,10.13,12606,15.32,3.605,0.586652453297788,70,23
1357,1212,10.13,12954.5,15.28,3.535,0.586652453297788,69,23
