sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
1696,159,3429,25,2543,51,5314,0,666,218,2351,0,3316,50,1900,75,1932,88,2408,0
1689,164,3550,27,2636,51,5532,0,646,231,2448,0,3425,50,1922,79,1966,91,2505,0
1651,169,3673,32,2701,53,5781,0,615,242,2542,0,3522,52,1941,83,1984,96,2604,0
1621,176,3776,32,2756,55,5989,0,554,252,2646,0,3632,56,1963,84,1992,99,2709,0
1609,181,3887,33,2825,56,6236,0,522,262,2758,0,3741,62,1980,86,2016,104,2830,0
1580,187,4014,35,2888,58,6488,0,481,279,2860,0,3839,63,2007,87,2028,110,2936,0
1540,202,4140,40,2949,61,6752,0,436,292,2967,0,3976,67,2022,90,2041,112,3052,0
1493,211,4286,41,3022,63,7006,0,401,304,3081,0,4103,76,2030,94,2056,117,3184,0
1442,219,4409,41,3089,67,7280,0,369,315,3220,0,4199,78,2045,103,2075,120,3320,0
1389,228,4547,42,3170,70,7562,0,343,334,3347,0,4309,80,2064,107,2076,125,3451,0
1334,232,4686,44,3217,73,7856,0,308,350,3474,0,4401,83,2081,114,2081,132,3583,0
1295,246,4819,45,3282,80,8160,0,262,362,3601,0,4490,87,2088,119,2074,137,3736,0
1236,259,4977,47,3354,85,8497,0,232,383,3752,0,4574,96,2094,128,2081,140,3885,0
1181,264,5112,51,3413,87,8842,0,202,402,3912,0,4661,102,2086,136,2080,147,4040,0
1114,273,5262,52,3476,92,9189,0,169,417,4091,0,4747,111,2078,143,2061,157,4227,0
1034,286,5438,52,3535,94,9561,0,139,436,4263,0,4826,113,2065,150,2047,164,4378,0
973,302,5608,52,3603,97,9947,0,120,454,4433,0,4930,117,2047,155,2026,173,4539,0
896,315,5788,54,3668,100,10345,0,106,465,4617,0,5030,121,2027,161,1988,181,4727,0
813,329,5950,58,3725,102,10733,0,83,485,4815,0,5119,126,2008,173,1968,196,4932,0
739,340,6139,59,3787,109,11140,0,69,498,5024,0,5218,132,1969,175,1936,209,5133,0
683,357,6322,64,3840,114,11596,0,62,515,5201,0,5313,142,1956,186,1885,220,5353,0
609,365,6488,70,3922,125,12040,0,51,527,5382,0,5396,151,1933,190,1837,232,5587,0
534,381,6693,77,3959,131,12525,0,43,534,5602,0,5456,158,1905,207,1759,247,5809,0
